Code,GeoFips,state_code,state_abr,GeoName,CL_UNIT,UNIT_MULT,DataValue_1997,DataValue_1998,DataValue_1999,DataValue_2000,DataValue_2001,DataValue_2002,DataValue_2003,DataValue_2004,DataValue_2005,DataValue_2006,DataValue_2007,DataValue_2008,DataValue_2009,DataValue_2010,DataValue_2011,DataValue_2012,DataValue_2013,DataValue_2014,DataValue_2015,DataValue_2016,DataValue_2017,DataValue_2018,DataValue_2019,DataValue_2020,DataValue_2021,DataValue_2022,DataValue_2023,DataValue_2024
SAGDP2-4,39000,39,OH,Ohio,Millions of current dollars,6,2538.2,2046.2,1373.6,1784.9,1682.4,1539.7,1771.2,2599,2028.5,2112.6,2494.3,2447,2707.7,2680.6,4092.7,3399.2,4689.5,3928.3,2627.2,2303.4,3053.8,3545.7,2344.7,3218.6,5364.7,6122,6517.5,5565.6
SAGDP2-4,40000,40,OK,Oklahoma,Millions of current dollars,6,1387,1131.6,1273.1,1452.3,1354.8,1584.8,1647.5,2315.4,2179.1,1637.8,1699.3,1863.2,1129.9,1863.8,2503,2850.5,2852,2864.3,2876.9,2218.8,2541.8,2518.2,2294.5,1571.2,2875.7,3503.4,3847.4,3722.6
SAGDP2-4,41000,41,OR,Oregon,Millions of current dollars,6,1727.4,1520.5,1491.7,1553.7,1558.5,1567.8,1836.1,2149.4,2048.3,2301.9,2233.2,2189.6,1897.2,1795.2,2175.6,2266.7,2539.1,2483.9,2486.8,2561.4,2202.8,2349.8,2167,2158.7,2720.7,3701.8,3315.9,3111.8
SAGDP2-4,42000,42,PA,Pennsylvania,Millions of current dollars,6,1734.5,1856.7,1724.9,2018.9,1970.3,1580.3,2109.4,2710.5,2499.2,2367.1,2662,2489.1,1986.2,2407.5,3007.3,3131.8,3550.3,3868.5,2943.7,2212.4,2834.7,2463.8,2652.7,2148.5,3421.5,5168.7,3564.4,3790.8
SAGDP2-4,44000,44,RI,Rhode Island,Millions of current dollars,6,28.1,26.7,26,27.3,29.8,33.9,36.9,43.4,39.6,39.7,35.5,50.8,45.2,47.4,47.6,44.1,45.7,40.9,45,34.7,41.4,38.4,36.2,39.4,56.9,85.5,68.2,75
SAGDP2-4,45000,45,SC,South Carolina,Millions of current dollars,6,744.5,585.3,577.1,710.5,821.2,468.5,807.8,1041.6,853.3,759.4,618.7,734.9,761.5,823.9,737.4,798.9,1080.3,713.9,649.8,618.8,733.7,643.3,574.6,505.4,987.6,1353.1,978.3,1331.3
SAGDP2-4,46000,46,SD,South Dakota,Millions of current dollars,6,1700.4,1642.2,1322.3,1518.3,1392,1067.8,1888.1,2562.7,1832.6,1341.9,2577.8,3176.5,2774.4,2657.6,4738.3,4118,5111.6,4181.8,3654.8,3060.1,3112.8,3513.1,3055.1,3515.4,5430.8,7184.2,7216.9,5928.7
SAGDP2-4,47000,47,TN,Tennessee,Millions of current dollars,6,964.2,778.4,562.1,779.5,853.8,653.7,874,1127.6,1009.7,999.8,644.9,1067.9,1108.2,990.9,1455.4,1103.6,1935.8,1476.9,1377.1,999.1,1109.5,914.4,1045.9,829.2,1830,2192.2,1937.8,1965.2
SAGDP2-4,48000,48,TX,Texas,Millions of current dollars,6,5508.4,4908.5,5503,5210.5,5316.2,5959.8,7389.7,8654.4,7150.1,5928.4,6887.5,4957.8,4091.8,7516,6979.5,6696.1,8924.2,8786.5,10278.5,7184.4,8160.5,7612.5,6701.5,6315,10318.7,15051.7,16445.3,14942.9
SAGDP2-4,49000,49,UT,Utah,Millions of current dollars,6,397.8,422.2,419.5,401.3,497.2,374.9,412,567.5,520.4,408.9,469.2,465.8,303.5,498.2,705,646.8,893.1,950.1,904.4,718.3,762.9,782.9,821,761.6,956.5,1498.7,1177.1,1181.5
SAGDP2-4,50000,50,VT,Vermont,Millions of current dollars,6,208.2,231.5,231.6,232.1,247.2,188.9,222.2,300,302.9,232.7,347.1,360.5,229,311.9,408,376.1,433.8,478.1,347.6,316.9,340.4,302.2,371.8,299.9,380.4,678.6,400.7,452
SAGDP2-4,51000,51,VA,Virginia,Millions of current dollars,6,941,920.5,783.7,992.4,926.1,780.4,767.1,1265.5,1208,1009.9,1014.3,1064.5,1030.7,1038.2,1411.2,1295.8,1531.1,1479.9,1309.7,1079.6,1327.5,1174.2,1167.2,818,1549.8,2776.6,1605.6,1636.6
SAGDP2-4,53000,53,WA,Washington,Millions of current dollars,6,2598.9,2586.4,2284.8,2600.1,2438.1,2588.1,3347.3,3515.2,3161.2,3275,4095.1,3645.9,3497,3708.4,5006.1,5049.6,5014.6,4621.9,5529.2,4851.5,4826,4937.6,5018,4743.7,5199.7,6568.6,5502.1,5732.8
SAGDP2-4,54000,54,WV,West Virginia,Millions of current dollars,6,103.2,106.2,81.5,109.9,128.3,74.7,96.1,157.2,149,119.2,90.2,128.7,120,134.8,193.7,156.7,224.8,224.1,203.5,177,246.7,216.4,216.2,148.5,246.9,537.5,330.3,424.1
SAGDP2-4,55000,55,WI,Wisconsin,Millions of current dollars,6,2428.6,2658.6,2375,2027.5,2559,2383.2,2753.9,3551.4,3050.7,2961.8,4006.7,3392.7,2418.5,3358.6,4766.3,4508.1,5081.6,5189.5,4788.1,3926.8,4195.2,4165,3890.2,4205.9,5523.2,7159.3,5970.9,6359.6
SAGDP2-4,56000,56,WY,Wyoming,Millions of current dollars,6,384.9,280.2,336.2,318.8,362.4,256,364.6,401.6,385,357.5,303.3,400.2,369.2,434.1,719,500.1,644.9,671.8,627.6,555.9,547.5,598.8,579.4,492.4,612.4,933.3,938.5,668.8
